Entrez.Gene,Symbol,metaZscore,metaPval,effect,Pval.adj,Bonferroni,maxFC,avgFC,BraakR,atrophyR
285954,INHBA-AS1,-5.554249208,2.79E-08,?-?--?,4.44E-07,0.000656034,0.77,0.84,,
221092,HNRNPUL2,-5.553860595,2.79E-08,--?--?,4.45E-07,0.000657495,0.56,0.82,-0.5994,-0.5047
84790,TUBA1C,-5.553274786,2.80E-08,------,4.46E-07,0.000659703,0.48,0.80,,-0.5461
55340,GIMAP5,5.552741944,2.81E-08,???++?,4.47E-07,0.000661718,1.50,1.33,0.6378,0.5322
153811,LOC153811,5.552632198,2.81E-08,++?++?,4.47E-07,0.000662134,1.29,1.16,,
25787,DGCR9,-5.552424011,2.82E-08,--?--?,4.47E-07,0.000662923,0.77,0.86,-0.6266,-0.5458
10242,KCNMB2,-5.552322318,2.82E-08,--?---,4.47E-07,0.000663309,0.75,0.86,-0.6327,-0.5166
1033,CDKN3,-5.551551704,2.83E-08,------,4.49E-07,0.00066624,0.63,0.81,-0.6309,-0.4947
1936,EEF1D,5.549940519,2.86E-08,++?+++,4.52E-07,0.000672409,1.70,1.24,0.6645,0.5617
266675,VMD2L2,-5.549840126,2.86E-08,???--+,4.52E-07,0.000672796,0.80,0.90,,
9201,DCLK1,-5.548416564,2.88E-08,------,4.56E-07,0.000678296,0.37,0.67,-0.6801,-0.5566
2819,GPD1,-5.547199504,2.90E-08,?-?---,4.59E-07,0.000683032,0.73,0.86,,-0.4861
10237,SLC35B1,-5.546758772,2.91E-08,------,4.60E-07,0.000684755,0.66,0.86,,-0.4515
401525,,-5.546389253,2.92E-08,???--?,4.60E-07,0.000686204,0.69,0.76,,
4259,MGST3,-5.546324765,2.92E-08,?-----,4.60E-07,0.000686457,0.79,0.89,-0.6543,-0.5278
1234,CCR5,5.54614733,2.92E-08,???++-,4.60E-07,0.000687153,1.57,1.27,,
654790,PCP4L1,-5.545687983,2.93E-08,--?---,4.61E-07,0.00068896,0.68,0.80,-0.7065,-0.5687
119032,C10orf32,-5.545560678,2.93E-08,------,4.61E-07,0.000689461,0.64,0.86,,
91369,ANKRD40,5.54535121,2.93E-08,++++++,4.61E-07,0.000690287,1.50,1.26,,
389768,,-5.545239155,2.94E-08,???--?,4.61E-07,0.000690729,0.60,0.69,,
158135,TTLL11,-5.545059429,2.94E-08,?-?--+,4.62E-07,0.000691439,0.75,0.89,,-0.481
3784,KCNQ1,5.544862169,2.94E-08,???+++,4.62E-07,0.000692219,1.25,1.18,,
51277,DNAJC27,-5.544767749,2.94E-08,------,4.62E-07,0.000692593,0.72,0.86,,-0.4422
5465,PPARA,5.543861153,2.96E-08,++?++-,4.64E-07,0.00069619,2.46,1.30,0.6561,0.5475
10538,BATF,5.543234363,2.97E-08,???+++,4.65E-07,0.000698688,1.34,1.17,,
55217,TMLHE,-5.541754678,2.99E-08,--?---,4.69E-07,0.000704619,0.71,0.88,,-0.4474
129521,NMS,-5.5415015,3.00E-08,???---,4.69E-07,0.000705639,0.52,0.73,-0.697,-0.537
7417,VDAC2,-5.541043769,3.01E-08,------,4.70E-07,0.000707486,0.75,0.84,-0.6633,-0.5051
127495,LRRC39,-5.540454928,3.02E-08,-+?---,4.71E-07,0.000709869,0.83,0.91,,-0.476
518,ATP5G3,-5.540007232,3.02E-08,--?---,4.72E-07,0.000711686,0.59,0.81,-0.6539,-0.5179
54878,DPP8,-5.539757909,3.03E-08,--?---,4.73E-07,0.0007127,0.74,0.85,-0.6116,-0.5037
